dep_delay;arr_delay;cancelled;cancellation_code;id
147;129;0;"";285455
110;124;0;"";285456
45;43;0;"";201129
-9;16;0;"";285483
24;20;0;"";229303
2;29;0;"";229304
71;117;0;"";172617
13;57;0;"";201130
55;66;0;"";285457
39;27;0;"";285458
-3;17;0;"";201161
175;182;0;"";143884
13;19;0;"";229307
88;76;0;"";201132
43;29;0;"";257386
27;25;0;"";285460
96;96;0;"";229310
42;31;0;"";201134
71;59;0;"";201135
14;15;0;"";229312
74;78;0;"";201136
26;19;0;"";171450
49;46;0;"";166049
24;17;0;"";201137
22;24;0;"";257389
90;71;0;"";143536
-10;56;0;"";285466
31;54;0;"";143886
37;23;0;"";229314
-1;5;0;"";201139
18;21;0;"";257390
9;19;0;"";257391
-9;32;0;"";201140
36;44;0;"";257393
53;28;0;"";257394
38;31;0;"";285471
92;82;0;"";201144
33;24;0;"";257395
40;34;0;"";229320
3;15;0;"";285474
70;60;0;"";229321
8;42;0;"";229322
20;26;0;"";285417
102;78;0;"";201146
2;40;0;"";229323
67;85;0;"";257398
1;31;0;"";257399
5;64;0;"";257400
103;105;0;"";229325
-1;32;0;"";285475
20;16;0;"";257402
46;27;0;"";229358
8;27;0;"";172992
29;21;0;"";285484
-1;47;0;"";257404
153;137;0;"";285492
75;63;0;"";257405
16;19;0;"";285485
-1;28;0;"";154796
36;41;0;"";143538
37;24;0;"";201148
29;24;0;"";257406
9;18;0;"";229327
1;19;0;"";229328
20;22;0;"";285553
65;54;0;"";257407
65;60;0;"";229330
60;67;0;"";201162
36;15;0;"";257408
15;16;0;"";229331
60;63;0;"";285486
93;81;0;"";201164
30;37;0;"";257409
1155;1132;0;"";285549
-9;15;0;"";172619
50;41;0;"";229332
-8;-29;0;"";229333
79;55;0;"";148773
34;89;0;"";257411
-2;53;0;"";201166
-6;61;0;"";257412
30;23;0;"";201167
45;85;0;"";201168
-2;61;0;"";172620
10;16;0;"";257415
75;77;0;"";285550
25;21;0;"";285491
25;16;0;"";171452
58;34;0;"";229336
38;37;0;"";149196
45;50;0;"";285497
103;97;0;"";285498
154;147;0;"";285499
54;65;0;"";285500
136;133;0;"";149197
44;145;0;"";257419
12;42;0;"";285503
15;19;0;"";285504
-1;21;0;"";285505
22;16;0;"";285506
6;17;0;"";229339
-7;18;0;"";160498
144;129;0;"";201232
87;73;0;"";257426
39;27;0;"";257427
15;15;0;"";257428
53;35;0;"";201169
115;102;0;"";229343
-5;38;0;"";201170
12;22;0;"";229344
12;20;0;"";201234
148;161;0;"";201171
319;303;0;"";257429
95;74;0;"";257430
72;56;0;"";146476
106;99;0;"";257495
46;42;0;"";201172
2;33;0;"";285551
73;70;0;"";285508
40;45;0;"";201174
22;17;0;"";229346
5;20;0;"";285512
-9;43;0;"";229347
48;20;0;"";229348
24;18;0;"";285513
79;71;0;"";201176
10;81;0;"";201177
80;69;0;"";285514
22;16;0;"";285515
1;112;0;"";201178
91;82;0;"";285517
20;18;0;"";285518
2;37;0;"";257432
18;23;0;"";201179
21;22;0;"";285519
82;70;0;"";257433
32;23;0;"";201180
23;36;0;"";257434
-10;21;0;"";201181
17;62;0;"";201182
34;31;0;"";257502
191;173;0;"";148928
24;54;0;"";257436
77;90;0;"";257437
-2;15;0;"";201184
50;25;0;"";201185
72;78;0;"";143539
-4;17;0;"";285521
82;73;0;"";229361
111;101;0;"";229362
4;26;0;"";201188
170;176;0;"";285523
30;17;0;"";201190
58;48;0;"";201191
90;97;0;"";285525
30;19;0;"";285528
6;16;0;"";171457
25;25;0;"";201192
102;82;0;"";229414
0;40;0;"";257442
86;76;0;"";144623
141;146;0;"";257443
48;30;0;"";201194
13;16;0;"";229417
119;116;0;"";285530
51;59;0;"";229415
128;125;0;"";285531
66;49;0;"";285532
-11;31;0;"";229418
27;29;0;"";229366
127;105;0;"";285533
29;16;0;"";257446
47;34;0;"";201196
42;30;0;"";201199
13;32;0;"";285534
37;29;0;"";285535
36;33;0;"";257448
25;31;0;"";257449
39;48;0;"";166050
71;69;0;"";257500
84;78;0;"";148926
28;32;0;"";229369
30;34;0;"";201201
95;88;0;"";285539
0;75;0;"";201203
50;56;0;"";257451
45;38;0;"";285540
83;61;0;"";285541
48;33;0;"";285542
37;24;0;"";201204
83;112;0;"";229416
37;98;0;"";257452
-3;28;0;"";201205
96;93;0;"";144278
107;101;0;"";201206
38;32;0;"";201236
-7;18;0;"";257455
10;29;0;"";229373
37;107;0;"";257456
20;15;0;"";201210
4;17;0;"";285552
33;16;0;"";229420
163;156;0;"";257457
66;53;0;"";229421
39;29;0;"";229376
166;162;0;"";229377
141;128;0;"";144279
36;28;0;"";285545
-4;15;0;"";154797
26;58;0;"";229422
71;60;0;"";229379
-3;17;0;"";229423
25;21;0;"";229380
19;25;0;"";285546
277;272;0;"";171461
43;25;0;"";201237
34;30;0;"";201215
40;28;0;"";257459
69;110;0;"";229381
17;16;0;"";201218
18;15;0;"";257460
34;17;0;"";201219
-7;20;0;"";285555
-2;15;0;"";229428
-4;22;0;"";285557
-1;34;0;"";201238
-9;72;0;"";229383
43;54;0;"";201222
37;22;0;"";229384
45;29;0;"";229385
50;61;0;"";229386
86;87;0;"";257462
-6;30;0;"";229424
42;32;0;"";201225
66;57;0;"";229387
102;89;0;"";257463
99;86;0;"";257464
112;109;0;"";201226
38;25;0;"";257466
26;30;0;"";285559
25;43;0;"";229388
104;116;0;"";257501
-4;22;0;"";285560
13;55;0;"";257467
36;36;0;"";257468
66;46;0;"";257469
72;87;0;"";285561
85;85;0;"";285584
40;31;0;"";257471
7;32;0;"";257473
66;61;0;"";285581
4;53;0;"";285585
23;21;0;"";201230
16;17;0;"";257474
70;59;0;"";201231
5;39;0;"";257475
14;33;0;"";257476
62;55;0;"";257477
9;28;0;"";285562
-8;17;0;"";285563
65;65;0;"";201243
86;77;0;"";285583
183;175;0;"";201286
33;36;0;"";285564
125;108;0;"";201246
90;70;0;"";229392
252;252;0;"";201296
196;203;0;"";229393
9;18;0;"";201247
41;23;0;"";229394
196;194;0;"";229395
176;162;0;"";285566
3;16;0;"";201248
62;67;0;"";257479
0;20;0;"";229425
40;33;0;"";285567
-2;55;0;"";201291
14;61;0;"";285568
25;30;0;"";229397
31;23;0;"";201249
92;99;0;"";229399
72;60;0;"";229400
147;125;0;"";285586
37;32;0;"";229401
51;45;0;"";285570
19;20;0;"";257481
90;62;0;"";285571
39;20;0;"";285572
164;152;0;"";285573
4;15;0;"";257485
32;19;0;"";257486
54;33;0;"";229403
19;16;0;"";257487
26;15;0;"";201250
28;25;0;"";257489
-2;34;0;"";166052
41;30;0;"";229404
-5;58;0;"";201252
67;49;0;"";257490
59;84;0;"";229405
-2;23;0;"";257491
204;215;0;"";229406
41;81;0;"";201254
34;22;0;"";285575
56;57;0;"";201255
21;33;0;"";257492
23;28;0;"";201292
10;24;0;"";229407
21;19;0;"";285580
128;113;0;"";285582
33;27;0;"";229430
13;27;0;"";229408
13;42;0;"";201256
11;79;0;"";229409
122;125;0;"";229410
4;35;0;"";257505
77;80;0;"";229413
-4;3;0;"";201259
61;47;0;"";257506
27;22;0;"";229431
28;24;0;"";201293
47;31;0;"";201299
32;26;0;"";201294
14;18;0;"";257507
657;657;0;"";201300
38;30;0;"";201301
70;71;0;"";229433
97;85;0;"";201303
191;180;0;"";229434
252;254;0;"";201265
253;231;0;"";201315
119;110;0;"";201304
48;16;0;"";229435
62;50;0;"";201305
20;25;0;"";257510
9;21;0;"";201316
73;110;0;"";229438
32;22;0;"";229439
98;109;0;"";229440
-6;15;0;"";201306
7;61;0;"";201288
25;19;0;"";257511
59;46;0;"";201309
85;46;0;"";257512
34;18;0;"";257513
-7;16;0;"";257548
43;33;0;"";201271
113;102;0;"";201273
19;31;0;"";257514
26;35;0;"";257515
-4;16;0;"";201310
23;30;0;"";257516
43;43;0;"";201311
153;152;0;"";257517
27;17;0;"";229445
43;28;0;"";143887
61;76;0;"";172241
56;51;0;"";257518
61;53;0;"";201312
34;25;0;"";257541
9;15;0;"";201297
109;105;0;"";257542
13;23;0;"";172242
271;277;0;"";257520
40;33;0;"";229449
